airtype,rnum,rNATSGRP,rPR,rSNmax,HCa,HCb,HCc,HCd,COa,COb,COc,COd,NOxa,NOxb,NOxc,NOxd,fuelflowa,fuelflowb,fuelflowc,fuelflowd
73F,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73G,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73H,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73M,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
73S,2,5,24.1,6,1.75,0.073,0.047,0.036,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.119,0.314,0.878,1.056
77W,2,1,39.8,5,0.39,0.07,0.04,0.04,12.7,0.98,0.15,0.15,5.86,17.47,39.13,53.21,0.3,0.899,2.772,3.414
ARJ,4,7,13,10.6,4.72,0.12,0.01,0.01,37.83,4.43,0.3,0.2,3.28,6.39,12.02,14.52,0.0453,0.1083,0.2961,0.3578
B35,2,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
CR9,2,7,23.03,5.33,0.08,0.06,0.02,0.02,24.92,2.91,0.5,0.41,4.31,11.1,12.82,14.67,0.069,0.1681,0.4941,0.6042
DHT,2,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
E90,2,5,25.5,9.4,4.94,0.13,0.1,0.07,46.1,4.84,0.75,0.81,3.55,7.59,14.97,17.78,0.085,0.223,0.653,0.792
E91,2,5,25.5,9.4,4.94,0.13,0.1,0.07,46.1,4.84,0.75,0.81,3.55,7.59,14.97,17.78,0.085,0.223,0.653,0.792
FH3,2,12,9.76,15,50.5,4.43,0.01,0.01,132,40.5,3.5,2.65,1.75,3.44,6.77,7.6,0.023,0.051,0.124,0.148
M82,2,5,19.05,6.1,0,0,0,0,17.89,3.79,0.49,0.42,4.05,7.65,13.02,16.49,0.137,0.363,1.045,1.282
KD1,1,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
MA6,2,8,25.39,6.8,6.8,0.19,0.1,0.09,36.91,2.33,0.62,0.53,3.69,11.13,21.77,25.69,0.193,0.579,1.683,2.027
PL2,1,12,35,0.3,0.05,0.02,0,0,13.4,1.5,0,0,6.41,11.47,18.89,24.88,0.071,0.201,0.573,0.699
EMJ,2,5,23.18,8.63,0.13,0.06,0.02,0.02,18.16,4.23,0.57,0.64,4.61,10.77,12.65,14.77,0.0644,0.18,0.5326,0.6518
